,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,date of arrival
10572,1,0,1,3,Meal Plan 1,0,Room_Type 1,191,Offline,0,0,0,95.0,0,Not_Canceled,2018-06-23
10573,2,0,0,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,62.86,0,Not_Canceled,2018-04-12
10574,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,Offline,0,0,0,80.0,0,Canceled,2018-05-19
10575,2,0,1,2,Meal Plan 2,0,Room_Type 2,161,Offline,0,0,0,130.0,0,Canceled,2018-03-25
10576,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,98.0,0,Canceled,2017-08-07
10577,2,0,0,2,Meal Plan 1,0,Room_Type 4,28,Online,0,0,0,156.0,0,Canceled,2018-05-20
10578,2,0,2,0,Meal Plan 1,0,Room_Type 1,2,Complementary,1,1,5,103.42353907649897,4,Not_Canceled,2018-10-30
10579,2,0,0,3,Meal Plan 1,0,Room_Type 4,36,Online,0,0,0,88.63,1,Not_Canceled,2018-01-27
10580,2,0,2,0,Not Selected,0,Room_Type 1,75,Online,0,0,0,90.0,0,Not_Canceled,2018-04-17
10581,2,2,2,3,Meal Plan 2,0,Room_Type 6,12,Online,0,0,0,230.0,0,Canceled,2018-02-14
10582,2,0,1,2,Meal Plan 1,0,Room_Type 1,115,Online,0,0,0,120.3,0,Canceled,2018-08-05
10583,2,0,1,1,Meal Plan 1,0,Room_Type 4,44,Offline,0,0,0,96.3,0,Not_Canceled,2018-06-18
10584,2,0,0,3,Meal Plan 1,0,Room_Type 1,42,Online,0,0,0,80.3,1,Not_Canceled,2018-02-03
10585,2,0,0,3,Not Selected,0,Room_Type 1,49,Online,0,0,0,89.91,0,Canceled,2018-09-06
10586,1,0,2,5,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,76.93,1,Canceled,2018-11-18
10587,1,0,1,0,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,129.0,1,Not_Canceled,2017-10-19
10588,1,2,1,4,Meal Plan 1,0,Room_Type 6,88,Online,0,0,0,187.85,1,Canceled,2018-05-16
10589,1,0,0,5,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,75.0,0,Not_Canceled,2018-01-26
10590,2,0,1,3,Meal Plan 1,0,Room_Type 1,66,Online,0,0,0,126.9,1,Not_Canceled,2018-06-09
10591,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,130.0,0,Not_Canceled,2018-05-02
10592,3,0,0,1,Meal Plan 1,0,Room_Type 4,12,Online,0,0,0,161.0,0,Not_Canceled,2018-12-10
10593,2,0,1,3,Meal Plan 1,1,Room_Type 4,47,Online,0,0,0,99.4,1,Not_Canceled,
10594,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,0,0,0,115.0,1,Canceled,2018-07-30
10595,3,0,1,2,Meal Plan 1,0,Room_Type 4,77,Online,0,0,0,168.3,2,Not_Canceled,2018-09-02
10596,2,0,2,0,Not Selected,0,Room_Type 1,117,Online,0,0,0,79.2,0,Not_Canceled,2018-11-13
10597,2,0,2,2,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,111.75,2,Not_Canceled,2017-10-02
10598,2,0,1,1,Not Selected,0,Room_Type 1,7,Online,0,0,0,139.0,0,Not_Canceled,2018-07-16
10599,2,0,0,4,Meal Plan 1,0,Room_Type 1,259,Online,0,0,0,73.95,1,Not_Canceled,2018-12-07
10600,3,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,159.3,1,Canceled,2018-04-30
10601,2,0,0,1,Not Selected,0,Room_Type 1,4,Online,0,0,0,90.0,0,Not_Canceled,2018-02-13
10602,2,0,1,0,Not Selected,0,Room_Type 1,6,Online,0,0,0,114.0,1,Not_Canceled,2017-09-20
10603,2,0,1,3,Meal Plan 1,0,Room_Type 1,287,Online,0,0,0,100.3,0,Canceled,2018-09-29
10604,3,0,0,4,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,162.0,2,Not_Canceled,2018-09-06
10605,2,0,2,5,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,156.0,1,Not_Canceled,2018-06-16
10606,2,0,1,4,Meal Plan 1,0,Room_Type 1,27,Online,0,0,0,69.0,0,Not_Canceled,2017-12-09
10607,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,Offline,0,0,0,110.0,0,Canceled,2018-10-16
10608,2,0,0,4,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,88.4,1,Not_Canceled,2018-11-16
10609,2,0,2,1,Meal Plan 1,0,Room_Type 2,224,Online,0,0,0,86.62,0,Canceled,2018-07-24
10610,2,0,2,3,Meal Plan 2,0,Room_Type 1,54,Online,0,0,0,144.0,0,Not_Canceled,2018-08-28
10611,3,0,0,1,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,146.0,2,Not_Canceled,2018-07-20
10612,2,0,0,3,Not Selected,0,Room_Type 4,1,Online,0,0,0,100.0,1,Not_Canceled,2018-11-22
10613,1,0,1,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,114.0,1,Not_Canceled,2017-09-21
10614,2,0,1,3,Meal Plan 1,0,Room_Type 1,60,Online,0,0,0,71.6,0,Not_Canceled,2018-04-11
10615,1,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,80.0,0,Not_Canceled,2018-10-13
10616,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,0,0,0,115.0,1,Canceled,2018-06-24
10617,2,0,0,2,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,108.9,0,Canceled,2018-11-24
10618,2,0,0,2,Meal Plan 1,0,Room_Type 1,112,Offline,0,0,0,100.0,0,Not_Canceled,2018-06-02
10619,1,0,0,1,Meal Plan 1,1,Room_Type 1,2,Corporate,1,1,15,67.0,1,Not_Canceled,2018-06-16
10620,2,0,0,3,Meal Plan 1,0,Room_Type 1,31,Online,0,0,0,129.0,2,Not_Canceled,2018-10-27
10621,2,0,1,3,Meal Plan 1,0,Room_Type 1,66,Online,0,0,0,179.1,2,Not_Canceled,2018-11-07
10622,1,0,1,2,Meal Plan 1,0,Room_Type 1,91,Offline,0,0,0,75.0,0,Not_Canceled,2018-09-30
10623,2,0,2,1,Meal Plan 1,0,Room_Type 1,67,Offline,0,0,0,76.16,1,Not_Canceled,2018-03-26
10624,2,0,1,2,Meal Plan 1,0,Room_Type 4,150,Online,0,0,0,76.36,1,Not_Canceled,2018-10-28
10625,2,0,0,2,Not Selected,0,Room_Type 1,15,Online,0,0,0,140.0,2,Not_Canceled,2018-10-21
10626,2,0,1,3,Meal Plan 1,0,Room_Type 4,64,Online,0,0,0,106.2,1,Canceled,2018-11-03
10627,2,0,1,3,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,85.0,0,Not_Canceled,2018-03-21
10628,2,0,2,2,Meal Plan 1,0,Room_Type 4,139,Online,0,0,0,114.33,0,Canceled,2018-07-31
10629,2,0,2,1,Meal Plan 1,0,Room_Type 1,87,Online,0,0,0,76.5,2,Not_Canceled,2017-08-09
10630,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,0,0,0,115.0,1,Canceled,2018-06-24
10631,2,0,2,2,Meal Plan 1,0,Room_Type 4,127,Online,0,0,0,143.1,1,Not_Canceled,2018-09-18
10632,1,0,0,2,Meal Plan 1,0,Room_Type 1,42,Offline,0,0,0,67.5,0,Not_Canceled,2018-11-04
10633,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Offline,0,0,0,115.0,1,Canceled,2018-08-18
10634,2,0,2,1,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,69.0,2,Not_Canceled,2017-12-05
10635,1,0,1,2,Meal Plan 1,0,Room_Type 1,219,Offline,0,0,0,76.67,0,Not_Canceled,2017-09-04
10636,2,0,0,1,Meal Plan 1,0,Room_Type 1,20,Online,0,0,0,93.0,0,Not_Canceled,2018-03-08
10637,2,0,0,3,Not Selected,0,Room_Type 1,151,Online,0,0,0,95.4,0,Canceled,2018-06-02
10638,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,Offline,0,0,0,101.5,0,Canceled,2017-07-01
10639,2,1,0,2,Meal Plan 1,0,Room_Type 1,135,Online,0,0,0,126.0,1,Not_Canceled,2018-07-05
10640,2,0,1,2,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,200.0,2,Not_Canceled,2018-11-07
10641,2,2,0,1,Meal Plan 1,1,Room_Type 6,140,Online,0,0,0,195.3,2,Not_Canceled,2018-07-08
10642,2,0,1,2,Meal Plan 1,0,Room_Type 1,67,Offline,0,0,0,75.0,0,Not_Canceled,2018-12-02
10643,2,0,1,1,Meal Plan 1,0,Room_Type 1,174,Offline,0,0,0,70.0,0,Canceled,2017-10-10
10644,2,1,0,5,Meal Plan 2,0,Room_Type 1,181,Online,0,0,0,162.15,2,Canceled,2018-08-23
10645,2,0,1,2,Meal Plan 1,0,Room_Type 1,198,Offline,0,0,0,90.0,0,Canceled,2018-09-09
10646,2,0,1,3,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,100.0,0,Not_Canceled,2017-10-12
10647,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,88.8,0,Not_Canceled,2018-12-10
10648,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,120.0,0,Canceled,2018-10-10
10649,2,0,2,1,Not Selected,0,Room_Type 1,49,Online,0,0,0,67.5,0,Canceled,2018-02-20
10650,2,2,2,2,Meal Plan 1,0,Room_Type 6,86,Online,0,0,0,187.85,1,Not_Canceled,2018-05-15
10651,2,0,2,0,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,114.3,0,Canceled,2018-07-03
10652,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,86.33,0,Not_Canceled,
10653,2,1,2,2,Meal Plan 1,1,Room_Type 1,15,Online,0,0,0,160.0,1,Not_Canceled,2018-03-20
10654,3,0,0,1,Meal Plan 1,0,Room_Type 1,15,Offline,0,0,0,90.0,2,Not_Canceled,2018-12-27
10655,2,0,2,2,Meal Plan 1,0,Room_Type 1,110,Offline,0,0,0,130.0,2,Canceled,2018-10-09
10656,2,0,2,2,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,92.25,1,Not_Canceled,2018-09-25
10657,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,Offline,0,0,0,85.0,0,Canceled,2018-04-22
10658,1,0,1,1,Meal Plan 1,0,Room_Type 1,85,Online,0,0,0,98.0,0,Not_Canceled,2018-12-03
10659,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,Offline,0,0,0,116.0,0,Not_Canceled,2017-09-04
10660,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,Offline,0,0,0,100.0,0,Not_Canceled,2018-06-03
10661,2,0,0,3,Meal Plan 1,0,Room_Type 4,58,Online,0,0,0,139.5,1,Canceled,2018-10-20
10662,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,65.0,0,Not_Canceled,2017-09-07
10663,2,0,1,3,Meal Plan 1,0,Room_Type 4,115,Offline,0,0,0,90.95,0,Not_Canceled,2018-05-02
10664,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Offline,0,0,0,89.0,0,Canceled,2018-11-03
10665,2,1,2,2,Meal Plan 1,0,Room_Type 1,42,Online,0,0,0,102.0,1,Not_Canceled,2018-12-31
10666,2,0,2,4,Meal Plan 1,0,Room_Type 1,135,Offline,0,0,0,80.75,0,Not_Canceled,2018-09-08
10667,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,0,0,0,101.5,0,Not_Canceled,2017-08-14
10668,2,0,2,1,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,118.8,0,Canceled,2018-10-09
10669,3,0,2,0,Meal Plan 1,1,Room_Type 4,42,Online,0,0,0,141.3,1,Not_Canceled,2018-06-26
10670,2,2,1,2,Meal Plan 1,0,Room_Type 6,9,Online,0,0,0,221.0,0,Canceled,2018-06-10
10671,2,0,2,5,Meal Plan 2,0,Room_Type 1,42,Offline,0,0,0,79.64,0,Not_Canceled,2017-09-08
10672,2,0,0,1,Meal Plan 1,0,Room_Type 1,26,Offline,0,0,0,120.0,0,Not_Canceled,2018-06-08
10673,2,0,1,2,Meal Plan 1,0,Room_Type 1,81,Offline,0,0,0,65.0,1,Not_Canceled,2018-03-25
10674,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,Offline,0,0,0,88.5,0,Not_Canceled,2017-10-23
10675,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Offline,0,0,0,107.0,0,Canceled,2018-09-26
10676,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,Offline,0,0,0,61.0,0,Canceled,2018-05-13
10677,2,0,2,3,Not Selected,0,Room_Type 1,47,Online,0,0,0,79.0,2,Not_Canceled,2018-10-02
10678,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Offline,0,0,0,89.0,0,Canceled,2018-11-03
10679,2,0,2,1,Meal Plan 2,0,Room_Type 1,124,Offline,0,0,0,94.5,0,Canceled,2017-08-08
10680,2,0,1,2,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,72.64,1,Not_Canceled,2018-02-26
10681,2,0,2,1,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,117.0,1,Canceled,2017-09-12
10682,2,0,2,2,Meal Plan 1,0,Room_Type 1,208,Offline,0,0,0,80.24,2,Not_Canceled,2018-06-11
10683,2,0,0,2,Meal Plan 1,1,Room_Type 1,58,Online,0,0,0,102.6,1,Not_Canceled,2018-12-09
10684,1,0,1,0,Not Selected,0,Room_Type 1,7,Online,0,0,0,78.8,0,Not_Canceled,2018-05-16
10685,2,0,0,2,Meal Plan 1,0,Room_Type 4,10,Online,0,0,0,204.0,2,Not_Canceled,2018-09-30
10686,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,1,11,22,79.0,1,Not_Canceled,2018-02-12
10687,3,0,0,1,Meal Plan 1,0,Room_Type 4,76,Online,0,0,0,151.2,1,Canceled,2018-10-22
10688,1,0,1,2,Meal Plan 1,0,Room_Type 1,101,Offline,0,0,0,70.0,0,Canceled,2018-04-04
10689,2,0,1,2,Not Selected,0,Room_Type 1,64,Online,0,0,0,116.1,2,Not_Canceled,2018-04-29
10690,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,Corporate,0,0,0,79.0,0,Not_Canceled,2017-12-09
10691,2,0,2,2,Meal Plan 1,0,Room_Type 4,69,Online,0,0,0,107.95,0,Not_Canceled,2018-04-23
10692,2,0,0,5,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,99.95,1,Not_Canceled,2017-10-20
10693,2,0,2,1,Meal Plan 1,0,Room_Type 1,5,Offline,0,0,0,62.8,0,Not_Canceled,2017-12-05
10694,2,0,1,3,Meal Plan 1,0,Room_Type 1,222,Online,0,0,0,83.1,1,Not_Canceled,2018-12-29
10695,2,0,1,5,Meal Plan 2,0,Room_Type 1,94,Offline,0,0,0,110.75,1,Not_Canceled,2018-03-28
10696,1,0,1,3,Meal Plan 1,0,Room_Type 1,5,Aviation,0,0,0,95.0,0,Not_Canceled,2018-04-04
10697,2,0,1,3,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,1,Not_Canceled,2017-10-12
10698,2,0,1,2,Meal Plan 1,0,Room_Type 1,60,Online,0,0,0,92.7,1,Canceled,2018-04-01
10699,3,0,0,2,Meal Plan 1,1,Room_Type 4,183,Online,0,0,0,137.7,1,Canceled,2018-07-26
10700,2,0,0,3,Meal Plan 1,0,Room_Type 2,217,Online,0,0,0,86.63,0,Canceled,2018-08-03
10701,2,0,1,2,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,126.9,1,Canceled,2018-04-29
10702,2,1,2,0,Meal Plan 1,0,Room_Type 1,12,Online,0,0,0,111.0,2,Not_Canceled,2018-02-07
10703,3,0,0,3,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,149.1,0,Canceled,2018-07-07
10704,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,96.27,1,Not_Canceled,2017-09-07
10705,2,1,2,5,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,99.51,2,Not_Canceled,2018-11-19
10706,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,Offline,0,0,0,110.0,1,Canceled,2018-09-08
10707,2,0,0,2,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,89.0,0,Not_Canceled,2018-01-06
10708,2,0,0,3,Meal Plan 1,0,Room_Type 1,258,Online,0,0,0,106.2,0,Canceled,2018-09-15
10709,3,1,2,1,Meal Plan 1,0,Room_Type 7,24,Online,0,0,0,285.17,0,Canceled,2018-05-21
10710,1,0,0,2,Meal Plan 1,0,Room_Type 4,16,Complementary,0,0,0,6.0,0,Not_Canceled,2018-03-08
10711,2,0,2,2,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,86.7,3,Not_Canceled,2018-04-17
10712,2,0,0,5,Meal Plan 1,0,Room_Type 4,142,Online,0,0,0,119.0,2,Not_Canceled,2018-07-05
10713,2,0,0,4,Not Selected,0,Room_Type 1,27,Online,0,0,0,74.8,1,Not_Canceled,2018-12-06
10714,2,0,1,2,Not Selected,0,Room_Type 1,102,Offline,0,0,0,59.5,0,Canceled,2018-11-07
10715,1,0,1,1,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,97.02,2,Not_Canceled,2018-05-23
10716,2,2,1,5,Meal Plan 1,0,Room_Type 6,78,Online,0,0,0,154.7,0,Not_Canceled,2018-03-21
10717,2,0,0,3,Meal Plan 1,0,Room_Type 1,109,Online,0,0,0,66.49,1,Not_Canceled,2018-10-25
10718,2,0,0,1,Not Selected,0,Room_Type 1,9,Online,0,0,0,81.0,1,Not_Canceled,2018-02-17
10719,3,0,1,3,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,130.9,0,Not_Canceled,2018-12-12
10720,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,131.0,0,Not_Canceled,2018-07-24
10721,2,0,0,4,Meal Plan 1,0,Room_Type 4,9,Online,0,0,0,148.5,1,Not_Canceled,2018-05-10
10722,2,0,0,2,Meal Plan 1,0,Room_Type 1,275,Online,0,0,0,77.62,1,Canceled,2018-11-03
10723,2,0,1,2,Meal Plan 1,0,Room_Type 1,110,Online,0,0,0,114.3,1,Not_Canceled,2018-07-08
10724,2,0,0,1,Meal Plan 1,0,Room_Type 1,29,Online,0,0,0,151.0,0,Not_Canceled,2018-08-20
10725,2,0,0,2,Not Selected,0,Room_Type 1,8,Online,0,0,0,119.0,1,Not_Canceled,2018-04-26
10726,3,0,2,2,Meal Plan 1,0,Room_Type 4,122,Online,0,0,0,142.2,0,Canceled,2018-07-30
10727,1,0,1,2,Meal Plan 1,0,Room_Type 4,38,Online,0,0,0,131.4,0,Canceled,2018-03-18
10728,2,0,0,4,Meal Plan 1,0,Room_Type 1,215,Online,0,0,0,115.6,0,Canceled,2018-09-28
10729,2,0,2,2,Not Selected,0,Room_Type 1,18,Online,0,0,0,76.29,0,Not_Canceled,2018-12-02
10730,1,0,1,0,Meal Plan 1,0,Room_Type 1,19,Corporate,0,0,0,65.0,0,Not_Canceled,2018-11-14
10731,1,0,1,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,95.0,1,Not_Canceled,2018-06-13
10732,1,0,1,2,Meal Plan 1,0,Room_Type 4,0,Offline,0,0,0,75.0,0,Not_Canceled,2017-09-21
10733,2,0,2,5,Meal Plan 1,0,Room_Type 1,59,Offline,0,0,0,59.5,0,Not_Canceled,2018-03-18
10734,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,Not_Canceled,2018-06-24
10735,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,1,1,0,102.6,0,Not_Canceled,2017-09-30
10736,2,0,0,1,Meal Plan 2,0,Room_Type 1,40,Offline,0,0,0,125.0,1,Not_Canceled,2018-07-26
10737,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Offline,0,0,0,120.0,0,Canceled,2018-09-15
10738,2,0,0,4,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,68.07,0,Not_Canceled,2018-12-13
10739,2,2,1,1,Meal Plan 1,0,Room_Type 6,0,Online,0,0,0,190.0,0,Not_Canceled,2018-04-16
10740,2,0,1,1,Meal Plan 1,0,Room_Type 4,44,Offline,0,0,0,96.3,0,Not_Canceled,2018-06-18
10741,2,0,1,1,Meal Plan 1,0,Room_Type 1,144,Online,0,0,0,105.3,1,Not_Canceled,2018-07-23
10742,2,0,2,2,Meal Plan 1,0,Room_Type 1,43,Offline,0,0,0,68.0,0,Not_Canceled,2018-11-19
10743,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,120.0,1,Canceled,2018-10-10
10744,2,2,0,4,Meal Plan 1,0,Room_Type 6,26,Online,0,0,0,226.5,0,Canceled,2018-09-27
10745,1,0,0,1,Meal Plan 1,0,Room_Type 4,1,Online,0,0,0,210.0,1,Not_Canceled,2018-09-22
10746,3,0,1,1,Meal Plan 1,0,Room_Type 1,173,Offline,0,0,0,96.9,0,Not_Canceled,2018-08-22
10747,2,0,1,3,Meal Plan 1,0,Room_Type 1,88,Online,0,0,0,56.94,0,Canceled,
10748,2,0,0,3,Meal Plan 1,0,Room_Type 4,22,Online,0,0,0,148.0,1,Not_Canceled,2018-12-29
10749,2,0,0,3,Meal Plan 1,0,Room_Type 1,116,Online,0,0,0,116.95,1,Not_Canceled,2018-07-06
10750,1,0,1,0,Meal Plan 1,0,Room_Type 4,4,Aviation,0,0,0,110.0,0,Not_Canceled,2018-10-10
10751,3,0,0,2,Meal Plan 1,0,Room_Type 4,65,Online,0,0,0,123.93,0,Canceled,2018-07-28
10752,2,0,1,1,Not Selected,0,Room_Type 1,0,Online,0,0,0,140.0,2,Not_Canceled,2018-10-29
10753,2,2,0,3,Meal Plan 1,0,Room_Type 6,26,Online,0,0,0,221.0,0,Canceled,2018-05-19
10754,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,106.25,1,Not_Canceled,2018-05-25
10755,2,0,0,3,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,98.67,2,Not_Canceled,2017-10-06
10756,3,0,0,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,173.0,0,Not_Canceled,2018-03-23
10757,2,0,0,3,Meal Plan 1,0,Room_Type 4,44,Offline,0,0,0,60.0,1,Not_Canceled,2017-11-11
10758,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,Offline,0,0,0,65.0,0,Not_Canceled,2017-10-17
10759,2,0,2,1,Not Selected,0,Room_Type 1,331,Online,0,0,0,75.9,0,Canceled,2018-12-31
10760,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,109.0,0,Not_Canceled,2018-02-18
10761,2,0,0,2,Not Selected,0,Room_Type 1,163,Online,0,0,0,79.2,0,Canceled,2018-12-02
10762,2,0,0,2,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,118.8,1,Not_Canceled,2018-04-26
10763,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,Corporate,1,0,1,86.0,1,Not_Canceled,2018-12-14
10764,2,0,0,4,Meal Plan 1,0,Room_Type 1,253,Offline,0,0,0,90.0,0,Canceled,2018-05-04
10765,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,120.0,0,Not_Canceled,2017-10-01
10766,2,0,0,1,Meal Plan 1,0,Room_Type 1,24,Complementary,0,0,0,103.42353907649897,1,Not_Canceled,2017-11-05
10767,2,0,1,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,108.5,0,Canceled,2018-04-11
10768,2,0,2,3,Meal Plan 1,0,Room_Type 1,23,Online,0,0,0,118.8,0,Not_Canceled,2017-09-06
10769,2,0,2,1,Not Selected,0,Room_Type 1,183,Online,0,0,0,80.1,2,Canceled,2018-10-29
10770,2,0,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,85.0,1,Not_Canceled,2018-03-20
10771,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,66.22,1,Not_Canceled,2018-02-01
10772,3,0,0,4,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,119.0,2,Not_Canceled,2018-11-22
10773,3,0,1,2,Meal Plan 1,0,Room_Type 4,31,Offline,0,0,0,102.9,1,Not_Canceled,2018-02-22
10774,2,1,2,1,Not Selected,0,Room_Type 1,23,Online,0,0,0,93.82,2,Not_Canceled,2018-04-09
10775,1,0,1,1,Meal Plan 1,0,Room_Type 1,114,Online,0,0,0,99.9,0,Canceled,2018-05-02
10776,2,0,2,1,Meal Plan 1,0,Room_Type 1,19,Online,1,1,0,69.0,0,Not_Canceled,2017-12-05
10777,2,0,2,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,126.9,0,Canceled,2018-05-21
10778,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,Corporate,1,0,1,66.0,0,Not_Canceled,2018-02-04
10779,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,114.0,0,Not_Canceled,2017-09-13
10780,1,0,0,3,Meal Plan 1,0,Room_Type 1,134,Online,0,0,0,90.9,0,Canceled,2018-06-30
10781,2,0,1,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,73.95,1,Canceled,2018-03-09
10782,1,0,1,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,86.0,0,Not_Canceled,2018-12-19
10783,2,0,1,2,Not Selected,0,Room_Type 1,5,Online,0,0,0,133.33,2,Not_Canceled,2018-11-04
10784,2,0,0,4,Meal Plan 1,0,Room_Type 1,178,Online,0,0,0,90.9,2,Not_Canceled,2018-10-26
10785,2,0,1,0,Not Selected,0,Room_Type 1,44,Online,0,0,0,89.1,2,Not_Canceled,2018-10-16
10786,2,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,148.0,1,Not_Canceled,2018-08-19
10787,2,1,1,1,Meal Plan 1,0,Room_Type 1,77,Online,0,0,0,112.5,2,Not_Canceled,2018-04-25
10788,2,0,2,1,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,100.0,0,Canceled,2018-03-26
10789,2,0,2,5,Not Selected,0,Room_Type 1,53,Online,0,0,0,74.8,2,Not_Canceled,2018-12-17
10790,2,0,1,2,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75.0,0,Not_Canceled,2018-11-11
10791,1,0,1,0,Meal Plan 1,0,Room_Type 5,111,Offline,0,0,0,120.0,0,Canceled,2018-10-10
10792,2,0,0,1,Meal Plan 1,0,Room_Type 1,42,Offline,0,0,0,85.0,1,Not_Canceled,2017-09-24
10793,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,Offline,0,0,0,75.0,0,Canceled,2018-07-01
10794,2,0,0,3,Meal Plan 1,0,Room_Type 1,28,Offline,0,0,0,85.0,0,Not_Canceled,2018-10-20
10795,2,0,0,4,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,115.0,2,Not_Canceled,2017-10-06
10796,3,0,0,1,Meal Plan 1,0,Room_Type 4,51,Online,0,0,0,137.7,1,Not_Canceled,2018-07-15
10797,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,Offline,0,0,0,224.67,0,Canceled,2017-09-23
10798,2,0,1,3,Not Selected,0,Room_Type 1,94,Online,0,0,0,79.2,1,Not_Canceled,2018-11-03
